STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Tamilnadu,Cuddalore,District Summary,1268.15,0.0,363475.82,1198.18,364674.0,114811.09,10868.9,103942.19,1687.12,82.14,64865.63,66634.9,64.13,3490.37,43511.94,,
Tamilnadu,Dharmapuri,District Summary,868.78,0.0,285599.88,57398.98,342998.87,50404.01,4918.22,45485.79,749.86,39.15,41230.19,42019.21,92.54,1619.36,6732.25,,
Tamilnadu,Dindigul,District Summary,894.26,0.0,487741.1,138923.05,626664.15,60843.4,5982.24,54861.16,1718.8,389.76,60476.12,62584.68,114.15,4540.64,9611.75,,
Tamilnadu,Erode,District Summary,715.12,0.0,346340.12,1425.0,347765.12,82359.95,8087.75,74272.19,928.44,804.86,56881.4,58614.7,79.17,11304.54,19092.3,,
Tamilnadu,Kallakurichchi,District Summary,1080.16,0.0,257923.0,57622.31,315545.31,65923.22,5896.62,60026.6,653.6,28.85,48688.14,49370.6,82.23,1639.19,12891.34,,
Tamilnadu,Kancheepuram,District Summary,1256.45,0.0,166794.04,3685.0,170479.04,58533.6,5634.7,52898.89,321.31,940.81,24749.79,26011.92,49.18,994.18,26409.28,,
Tamilnadu,Kanniyakumari,District Summary,1276.63,0.0,113044.97,4772.03,117817.0,34419.3,3441.92,30977.38,1042.06,124.02,3528.6,4694.7,15.22,1240.1,26206.78,,
Tamilnadu,Karur,District Summary,646.69,0.0,283369.52,6187.12,289556.64,33182.29,3185.24,29997.04,494.42,390.94,29085.48,29970.84,100.0,1180.58,6869.36,,
Tamilnadu,Krishnagiri,District Summary,792.98,0.0,310361.42,97194.87,407556.3,52111.73,4932.9,47178.82,496.24,669.03,43186.92,44352.18,94.14,2034.82,6549.4,,
Tamilnadu,Madurai,District Summary,859.41,0.0,325646.74,36021.25,361667.99,77327.65,7466.94,72067.9,4637.93,3496.83,41364.57,49499.32,68.72,6244.76,24207.72,,
Tamilnadu,Mayiladuthurai,District Summary,1322.66,0.0,116256.03,1102.21,117358.24,43314.91,4331.48,38983.43,1382.78,0.0,51636.39,53019.19,120.08,4846.26,2750.07,,
Tamilnadu,Nagapattinam,District Summary,1363.19,0.0,152268.84,3531.0,154034.34,71757.51,7175.76,64581.75,610.38,3081.19,27807.68,31499.27,0.0,0.0,0.0,,
Tamilnadu,Namakkal,District Summary,726.98,0.0,292810.44,1401.39,294211.83,58974.06,5648.72,53325.34,3381.5,337.02,57114.52,60833.02,114.11,4153.35,9474.1,,
Tamilnadu,Perambalur,District Summary,861.29,0.0,159453.77,9242.38,168696.16,27102.47,2654.74,24447.72,497.95,37.36,25754.64,26289.96,107.64,900.72,7761.83,,
Tamilnadu,Pudukkottai,District Summary,889.52,0.0,443060.8,7574.46,450635.26,106505.42,10628.76,95876.66,983.73,574.01,44373.36,45931.12,50.06,2073.04,44921.98,,
Tamilnadu,Ramanathapuram,District Summary,742.62,0.0,408222.04,1470.0,408957.04,61222.38,6120.44,55101.94,529.25,72.2,5942.56,6543.98,10.66,1404.69,43100.82,,
Tamilnadu,Ranipet,District Summary,1017.96,0.0,175600.04,1.91,175601.0,30648.57,2672.68,27975.89,1112.37,1164.72,21918.08,24195.18,86.65,1909.58,4170.91,,
